Region/Country/Area,Year,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),surface_area_km2,Latitude,Longitude
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,707,1.37,103.8
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,709,1.37,103.8
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,712,1.37,103.8
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,714,1.37,103.8
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,716,1.37,103.8
Singapore,2022,11.8,23,,5.98,2.85,3.13,109.6,718,1.37,103.8
Sint Maarten,2010,22.6,9.2,971.6,0.03,0.02,0.02,89.9,,,
Sint Maarten,2015,19.2,11.3,,0.04,0.02,0.02,111.1,,,
Sint Maarten,2021,11.7,18.1,,0.04,0.02,0.02,115.2,,,
Sint Maarten,2022,11,19.7,,0.04,0.02,0.02,115.2,,,
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48100,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48110,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48090,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48091,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48088,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48080,48.67,19.5
Slovakia,2010,15.4,18,110.1,5.4,2.77,2.63,94.8,48082,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48100,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48110,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48090,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48091,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48088,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48080,48.67,19.5
Slovakia,2015,15.3,20.9,110.6,5.42,2.78,2.64,95.1,48082,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48100,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48110,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48090,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48091,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48088,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48080,48.67,19.5
Slovakia,2021,15.9,23.7,111.1,5.45,2.79,2.66,95.4,48082,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48100,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48110,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48090,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48091,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48088,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48080,48.67,19.5
Slovakia,2022,15.7,23.1,115.1,5.64,2.89,2.76,95.6,48082,48.67,19.5
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20140,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20146.2,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20145.8,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20146,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20145.7,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20142.6,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20142,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20138.1,46,15
Slovenia,2010,14.2,21.9,102.2,2.06,1.04,1.02,97.6,20136.4,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20140,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20146.2,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20145.8,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20146,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20145.7,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20142.6,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20142,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20138.1,46,15
Slovenia,2015,14.9,24.7,103.3,2.08,1.05,1.03,98.4,20136.4,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20140,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20146.2,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20145.8,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20146,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20145.7,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20142.6,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20142,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20138.1,46,15
Slovenia,2021,15.2,27.3,105.2,2.12,1.05,1.07,101,20136.4,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20140,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20146.2,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20145.8,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20146,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20145.7,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20142.6,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20142,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20138.1,46,15
Slovenia,2022,15.1,27.7,105.3,2.12,1.05,1.07,101.1,20136.4,46,15
Solomon Islands,2010,41.2,5.2,18.8,0.54,0.26,0.28,105.2,27990,-8,159
Solomon Islands,2015,40.5,5.2,21.3,0.61,0.3,0.31,104.8,27990,-8,159
Solomon Islands,2021,39.3,5.4,24.6,0.71,0.35,0.36,104.5,27990,-8,159
Solomon Islands,2022,39.1,5.5,25.2,0.72,0.35,0.37,104.4,27990,-8,159
Somalia,2010,48.3,4,19.2,12.03,6,6.03,100.4,627340,10,49
Somalia,2015,47.8,4.1,21.9,13.76,6.86,6.9,100.5,627340,10,49
Somalia,2021,47.3,4.2,27.2,17.07,8.51,8.56,100.5,627340,10,49
Somalia,2022,47.2,4.1,28.1,17.6,8.78,8.82,100.5,627340,10,49
South Africa,2010,28.7,7.6,42.4,51.78,26.86,24.93,92.8,1213090,-29,24
South Africa,2015,28.3,8.1,45.8,55.88,28.72,27.16,94.5,1213090,-29,24
South Africa,2021,28.7,8.7,48.7,59.39,30.5,28.89,94.7,1213090,-29,24
South Africa,2022,28.6,8.7,49.1,59.89,30.73,29.17,94.9,1213090,-29,24
South Sudan,2010,43,4,17.2,9.71,4.92,4.79,97.3,631930,,
South Sudan,2015,43.5,4.1,19.8,11.19,5.66,5.54,97.8,631930,,
South Sudan,2022,43.9,4.8,19.3,10.91,5.51,5.4,98.1,631930,,
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499780,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499750,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499630,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499570,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499540,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499530,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499470,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499460,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499430,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499440,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499000,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,498520,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499040,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499210,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499180,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499090,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,498980,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499110,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,498800,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,498660,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,500010,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499880,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,500210,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499661,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499564,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499547.34,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499603.47,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499570.03,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499556.66,40,-4
Spain,2010,15,22.2,92.7,46.57,23.56,23.01,97.7,499733.25,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499780,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499750,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499630,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499570,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499540,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499530,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499470,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499460,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499430,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499440,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499000,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,498520,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499040,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499210,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499180,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499090,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,498980,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499110,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,498800,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,498660,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,500010,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499880,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,500210,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499661,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499564,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499547.34,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499603.47,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499570.03,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499556.66,40,-4
Spain,2015,15.2,24.1,92.4,46.43,23.62,22.81,96.6,499733.25,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499780,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499750,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499630,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499570,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499540,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499530,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499470,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499460,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499430,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499440,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499000,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,498520,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499040,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499210,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499180,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499090,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,498980,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499110,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,498800,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,498660,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,500010,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499880,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,500210,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499661,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499564,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499547.34,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499603.47,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499570.03,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499556.66,40,-4
Spain,2021,14.1,26.3,94.5,47.49,24.22,23.27,96.1,499733.25,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499780,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499750,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499630,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499570,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499540,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499530,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499470,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499460,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499430,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499440,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499000,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,498520,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499040,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499210,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499180,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499090,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,498980,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499110,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,498800,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,498660,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,500010,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499880,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,500210,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499661,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499564,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499547.34,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499603.47,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499570.03,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499556.66,40,-4
Spain,2022,13.8,26.8,94.7,47.56,24.25,23.31,96.1,499733.25,40,-4
Sri Lanka,2010,25.5,11.8,329.6,20.67,10.61,10.06,94.8,62710,7,81
Sri Lanka,2010,25.5,11.8,329.6,20.67,10.61,10.06,94.8,61893,7,81
Sri Lanka,2010,25.5,11.8,329.6,20.67,10.61,10.06,94.8,61864,7,81
Sri Lanka,2010,25.5,11.8,329.6,20.67,10.61,10.06,94.8,61864.47,7,81
Sri Lanka,2010,25.5,11.8,329.6,20.67,10.61,10.06,94.8,61860,7,81
Sri Lanka,2015,25,13.6,340.3,21.34,11.02,10.32,93.7,62710,7,81
Sri Lanka,2015,25,13.6,340.3,21.34,11.02,10.32,93.7,61893,7,81
Sri Lanka,2015,25,13.6,340.3,21.34,11.02,10.32,93.7,61864,7,81
Sri Lanka,2015,25,13.6,340.3,21.34,11.02,10.32,93.7,61864.47,7,81
Sri Lanka,2015,25,13.6,340.3,21.34,11.02,10.32,93.7,61860,7,81
Sri Lanka,2021,23.2,16.3,347.2,21.77,11.28,10.49,93,62710,7,81
Sri Lanka,2021,23.2,16.3,347.2,21.77,11.28,10.49,93,61893,7,81
Sri Lanka,2021,23.2,16.3,347.2,21.77,11.28,10.49,93,61864,7,81
Sri Lanka,2021,23.2,16.3,347.2,21.77,11.28,10.49,93,61864.47,7,81
Sri Lanka,2021,23.2,16.3,347.2,21.77,11.28,10.49,93,61860,7,81
Sri Lanka,2022,22.8,16.7,348.2,21.83,11.32,10.51,92.9,62710,7,81
Sri Lanka,2022,22.8,16.7,348.2,21.83,11.32,10.51,92.9,61893,7,81
Sri Lanka,2022,22.8,16.7,348.2,21.83,11.32,10.51,92.9,61864,7,81
Sri Lanka,2022,22.8,16.7,348.2,21.83,11.32,10.51,92.9,61864.47,7,81
Sri Lanka,2022,22.8,16.7,348.2,21.83,11.32,10.51,92.9,61860,7,81
Palestine,2010,42.4,4.3,663.2,3.99,2,1.99,99.5,6020,,
Palestine,2010,42.4,4.3,663.2,3.99,2,1.99,99.5,6025,,
Palestine,2015,40.6,4.8,745,4.48,2.25,2.23,99.1,6020,,
Palestine,2015,40.6,4.8,745,4.48,2.25,2.23,99.1,6025,,
Palestine,2021,39.1,5.4,852.7,5.13,2.57,2.56,99.5,6020,,
Palestine,2021,39.1,5.4,852.7,5.13,2.57,2.56,99.5,6025,,
Palestine,2022,38.8,5.5,872.1,5.25,2.63,2.62,99.6,6020,,
Palestine,2022,38.8,5.5,872.1,5.25,2.63,2.62,99.6,6025,,
Sudan,2010,42.1,4.1,19.1,33.74,16.85,16.89,100.2,2376000,15,30
Sudan,2010,42.1,4.1,19.1,33.74,16.85,16.89,100.2,1868000,15,30
Sudan,2015,42,4.9,21.6,38.17,19.08,19.09,100,2376000,15,30
Sudan,2015,42,4.9,21.6,38.17,19.08,19.09,100,1868000,15,30
Sudan,2022,40.9,5.5,26.6,46.87,23.45,23.42,99.9,2376000,15,30
Sudan,2022,40.9,5.5,26.6,46.87,23.45,23.42,99.9,1868000,15,30
Suriname,2010,29.9,8.6,3.5,0.55,0.27,0.27,100.9,156000,4,-56
Suriname,2015,28.5,9.5,3.7,0.58,0.29,0.29,100.2,156000,4,-56
Suriname,2021,26.5,11.1,3.9,0.61,0.31,0.31,99.3,156000,4,-56
Suriname,2022,26.2,11.4,4,0.62,0.31,0.31,99.1,156000,4,-56
Sweden,2010,16.6,24.9,23,9.38,4.71,4.67,99.2,407339.7,62,15
Sweden,2010,16.6,24.9,23,9.38,4.71,4.67,99.2,407310.62,62,15
Sweden,2010,16.6,24.9,23,9.38,4.71,4.67,99.2,407283.6,62,15
Sweden,2010,16.6,24.9,23,9.38,4.71,4.67,99.2,407283.53,62,15
Sweden,2015,17.4,25.3,24.2,9.85,4.92,4.93,100.3,407339.7,62,15
Sweden,2015,17.4,25.3,24.2,9.85,4.92,4.93,100.3,407310.62,62,15
Sweden,2015,17.4,25.3,24.2,9.85,4.92,4.93,100.3,407283.6,62,15
Sweden,2015,17.4,25.3,24.2,9.85,4.92,4.93,100.3,407283.53,62,15
Sweden,2021,17.7,25.5,25.7,10.47,5.19,5.27,101.5,407339.7,62,15
Sweden,2021,17.7,25.5,25.7,10.47,5.19,5.27,101.5,407310.62,62,15
Sweden,2021,17.7,25.5,25.7,10.47,5.19,5.27,101.5,407283.6,62,15
Sweden,2021,17.7,25.5,25.7,10.47,5.19,5.27,101.5,407283.53,62,15
Sweden,2022,17.6,25.7,25.9,10.55,5.23,5.32,101.6,407339.7,62,15
Sweden,2022,17.6,25.7,25.9,10.55,5.23,5.32,101.6,407310.62,62,15
Sweden,2022,17.6,25.7,25.9,10.55,5.23,5.32,101.6,407283.6,62,15
Sweden,2022,17.6,25.7,25.9,10.55,5.23,5.32,101.6,407283.53,62,15
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528.71,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528.79,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528.87,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528.95,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.03,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.11,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.19,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.27,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.35,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.43,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.51,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.59,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39529.67,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39528.453,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39527.24,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39526.02,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39524.8,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39523.582,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39522.36,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39521.14,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39519.918,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39518.695,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39517.47,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39516.246,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39515.02,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39514.42,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39513.824,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39513.227,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39512.625,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39512.027,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39511.43,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39510.83,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39510.23,47,8
Switzerland,2010,15.2,22.7,195.6,7.82,3.97,3.85,97,39509.63,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528.71,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528.79,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528.87,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528.95,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.03,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.11,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.19,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.27,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.35,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.43,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.51,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.59,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39529.67,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39528.453,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39527.24,47,8
Switzerland,2015,14.9,23.5,207.1,8.28,4.18,4.1,97.9,39526.02,47,8
